id,deployment_code,community_name,population,population_override,latitude,longitude,cost_estimate,cost_actual,other_funding_amt,other_funding_donation_count,completion_date,partner_project_code,plaque_text,project_specific_field_notes,internal_notes,image_url,location_type_id,project_type_id,sub_project_type_id,status_id,grant_id,grant_program_id,d2p_batch_id,mycw,region,funding_source,rehab,revenue_category,package_id,fluxx_id,fluxx_regrant_id,possible_location_types,review_status_name,resubmission_notes,state,district,sub_district,system_name,water_point_name,latitude_display,longitude_display
52053,ET.GOH.Q4.13.156.208,Enda michael,105,,13.81299,38.54385,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,98,,427,Community,,,,N/Adet,Rubay,,,,
52054,ET.GOH.Q4.13.156.209,Wehabito,100,,13.82168,38.64227,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,98,,427,Community,,,,N/Adet,Rubay,,,,
52055,ET.GOH.Q4.13.156.210,May comel,350,,13.81082,38.67558,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,98,,427,Community,,,,N/Adet,Rubay,,,,
52056,ET.GOH.Q4.13.156.211,May ziquaqa,150,,13.80784,38.6764,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,98,,427,Community,,,,N/Adet,Rubay,,,,
52057,ET.GOH.Q4.13.156.212,May agam,250,,13.82824,38.64865,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,98,,427,Community,,,,N/Adet,Rubay,,,,
52058,ET.GOH.Q4.13.156.213,May digisna,225,,13.83671,38.64801,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,98,,427,Community,,,,N/Adet,Rubay,,,,
52059,ET.GOH.Q4.13.156.214,May lomin,250,,13.82608,38.67006,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,98,,427,Community,,,,N/Adet,Rubay,,,,
52060,ET.GOH.Q4.13.156.215,May Akeyti,200,,13.85352,38.672,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,98,,427,Community,,,,N/Adet,D/genet,,,,
52061,ET.GOH.Q4.13.156.216,May Gibako,180,,13.85394,38.66802,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,98,,427,Community,,,,N/Adet,D/genet,,,,
52062,ET.GOH.Q4.13.156.217,May Atkaro,200,,13.84982,38.66153,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,98,,427,Community,,,,N/Adet,D/genet,,,,
52063,ET.GOH.Q4.13.156.218,May Flfalo,180,,13.84932,38.65446,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,98,,427,Community,,,,N/Adet,D/genet,,,,
52064,ET.GOH.Q4.13.156.219,May sugsugia,100,,13.84437,38.64762,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,98,,427,Community,,,,N/Adet,D/genet,,,,
52065,ET.GOH.Q4.13.156.220,Egri sekore,125,,13.83085,38.63155,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,98,,427,Community,,,,N/Adet,D/genet,,,,
52066,ET.GOH.Q4.13.156.221,May gabla emni,120,,13.83256,38.62805,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,98,,427,Community,,,,N/Adet,D/genet,,,,
52067,ET.GOH.Q4.13.156.222,May adi eslam,175,,13.84123,38.62641,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,98,,427,Community,,,,N/Adet,D/genet,,,,
52068,ET.GOH.Q4.13.156.223,May cuho,150,,13.83833,38.62075,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,357,,427,Community,,,,N/Adet,D/genet,,,,
52069,ET.GOH.Q4.13.156.224,May weiyni,75,,13.84695,38.61166,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,MYCW_REC,379,,427,Community,,,,N/Adet,D/genet,,,,
52070,ET.GOH.Q4.13.156.225,Golgol Asha,110,,13.8434,38.61094,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,MYCW_REC,379,,427,Community,,,,N/Adet,D/genet,,,,
52071,ET.GOH.Q4.13.156.226,MAY Tmket,100,,13.8528,38.61454,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,MYCW_REC,379,,427,Community,,,,N/Adet,D/genet,,,,
52072,ET.GOH.Q4.13.156.227,May Curumto,125,,13.85497,38.62807,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,MYCW_REC,379,,427,Community,,,,N/Adet,D/genet,,,,
52073,ET.GOH.Q4.13.156.228,Sewhi mai ayni,200,,14.22103,38.24803,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,MYCW_REC,379,,427,Community,,,,L/adiabo,Maiambesa,,,,
52074,ET.GOH.Q4.13.156.229,Sewhi,175,,14.24543,38.27392,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,340,,427,Community,,,,L/adiabo,Maiambesa,,,,
52075,ET.GOH.Q4.13.156.230,Mai metsani,150,,14.23492,38.18997,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,340,,427,Community,,,,L/adiabo,Adi abagie,,,,
52076,ET.GOH.Q4.13.156.231,Adikeshi rubagenao,150,,14.22741,38.16509,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,363,,427,Community,,,,L/adiabo,Adi abagie,,,,
52077,ET.GOH.Q4.13.156.232,Adigidey Maimeret,285,,14.28994,38.25776,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,MYCW_REC,379,,427,Community,,,,L/adiabo,Hadegti,,,,
52078,ET.GOH.Q4.13.156.233,Dameker sewhi,150,,14.16644,37.95899,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,MYCW_REC,379,,427,Community,,,,L/adiabo,Zelazile,,,,
52079,ET.GOH.Q4.13.156.234,Lesse,200,,14.27197,38.3083,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,MYCW_REC,379,,427,Community,,,,L/adiabo,Wuhdet,,,,
52089,ET.GOH.Q4.13.156.235,Mai awuer,300,,14.29498,38.39576,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,258,,427,Community,,,,L/adiabo,Medebay terer,,,,
52090,ET.GOH.Q4.13.156.236,Mai daero,250,,14.30035,38.27638,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,313,,427,Community,,,,L/adiabo,Hadegti,,,,
52091,ET.GOH.Q4.13.156.237,shirba,200,,14.03126,37.99825,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,337,,427,Community,,,,Asgede tsimbla,edaga hibret,,,,
52092,ET.GOH.Q4.13.156.238,egri endasmelash,150,,14.0486,37.99246,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,337,,427,Community,,,,Asgede tsimbla,edaga hibret,,,,
52093,ET.GOH.Q4.13.156.239,barto,200,,14.02015,37.91983,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,WPS,337,,427,Community,,,,Asgede tsimbla,edaga hibret,,,,
52106,ET.GOH.Q4.13.156.240,ela tekaye gidey,200,,14.03247,37.9449,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,MYCW_REC,379,,427,Community,,,,Asgede tsimbla,edaga hibret,,,,
52107,ET.GOH.Q4.13.156.241,may tsaetaeta,200,,13.91816,38.2351,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,MYCW_REC,379,,427,Community,,,,Asgede tsimbla,birhan,,,,
52108,ET.GOH.Q4.13.156.242,may brazien,300,,13.99996,37.69844,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,MYCW_REC,379,,427,Community,,,,Asgede tsimbla,dedebit,,,,
52109,ET.GOH.Q4.13.156.243,enda tazebe amare,250,,14.04508,37.72099,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,MYCW_REC,379,,427,Community,,,,Asgede tsimbla,dedebit,,,,
52110,ET.GOH.Q4.13.156.244,may sagla,200,,14.03483,37.7138,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,MYCW_REC,379,,427,Community,,,,Asgede tsimbla,dedebit,,,,
52111,ET.GOH.Q4.13.156.245,shena may gudie,120,,13.91428,38.24371,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,MYCW_REC,379,,427,Community,,,,Asgede tsimbla,birhan,,,,
