id,deployment_code,community_name,population,cost_estimate,plaque_text,location_type_id,project_type_id,status_id,grant_id,grant_program_id,region,rehab,revenue_category,package_id,fluxx_regrant_id,possible_location_types,state,district,sub_district,system_name,water_point_name,latitude,longitude
6939,ET.GOH.Q2.13.144.029,Adi shanko,300,9063.85,Virginia Clay,CO,3,1,1174,120,Tigray,0,MYCW_OVER_10K,127,364,Community,Tigray,W/leke,Zengue,,,14.19796,39.02198
6940,ET.GOH.Q2.13.144.030,Adi Golgol,250,9063.85,Virginia Clay,CO,3,1,1174,120,Tigray,0,MYCW_OVER_10K,127,364,Community,Tigray,W/leke,Zengue,,,14.08333,39.20972
6941,ET.GOH.Q2.13.144.031,May Beles,350,9063.85,Virginia Clay,CO,3,1,1174,120,Tigray,0,MYCW_OVER_10K,127,364,Community,Tigray,W/leke,Selam,,,14.19639,39.01205
6942,ET.GOH.Q2.13.144.032,Dingur,400,9063.85,Virginia Clay,CO,3,1,1174,120,Tigray,0,MYCW_OVER_10K,127,364,Community,Tigray,W/leke,Selam,,,14.18242,39.00608
6943,ET.GOH.Q2.13.144.033,May Kisad,400,9063.85,Virginia Clay,CO,3,1,1174,120,Tigray,0,MYCW_OVER_10K,127,364,Community,Tigray,W/leke,Lakinay,,,13.01707,39.40775
6944,ET.GOH.Q2.13.144.034,Enkele Ruba,500,9063.85,Virginia Clay,CO,3,1,1174,120,Tigray,0,MYCW_OVER_10K,127,364,Community,Tigray,W/leke,Lakinay,,,13.43168,38.96112
6945,ET.GOH.Q2.13.144.035,May Agam,350,9063.85,Virginia Clay,CO,3,1,1174,120,Tigray,0,MYCW_OVER_10K,127,364,Community,Tigray,W/leke,Lakinay,,,13.98004,39.00551
6946,ET.GOH.Q2.13.144.036,Birdada,275,9063.85,Virginia Clay,CO,3,1,1174,120,Tigray,0,MYCW_OVER_10K,127,364,Community,Tigray,W/leke,Lakinay,,,14.02435,38.98347
6947,ET.GOH.Q2.13.144.037,May Gabla,300,9063.85,Virginia Clay,CO,3,1,1174,120,Tigray,0,MYCW_OVER_10K,127,364,Community,Tigray,W/leke,Lakinay,,,14.23273,39.00147
6948,ET.GOH.Q2.13.144.038,Awhi Shiwamba,300,9063.85,Virginia Clay,CO,3,1,1174,120,Tigray,0,MYCW_OVER_10K,127,364,Community,Tigray,W/leke,Lakinay,,,14.08941,39.06801
6949,ET.GOH.Q2.13.144.039,Emba Gahalit,325,9063.85,Virginia Clay,CO,3,1,1174,120,Tigray,0,GENERAL_WATER,128,364,Community,Tigray,W/leke,Lakinay,,,12.9654,39.42962
6950,ET.GOH.Q2.13.144.040,Meshenay,200,9063.85,A jug fills drop by drop,CO,3,1,1174,120,Tigray,0,GENERAL_WATER,128,364,Community,Tigray,W/leke,Lakinay,,,14.01188,38.96355
6951,ET.GOH.Q2.13.144.041,Dingur,150,9063.85,A jug fills drop by drop,CO,3,1,1174,120,Tigray,0,GENERAL_WATER,128,364,Community,Tigray,W/leke,Lakinay,,,14.04961,39.05896
6952,ET.GOH.Q2.13.144.042,Duka,150,9063.85,A jug fills drop by drop,CO,3,1,1174,120,Tigray,0,GENERAL_WATER,128,364,Community,Tigray,W/Leke,Endachiwa,,,14.24296,38.94734
6953,ET.GOH.Q2.13.144.043,Kerni-haresh,220,9063.85,A jug fills drop by drop,CO,3,1,1174,120,Tigray,0,GENERAL_WATER,128,364,Community,Tigray,W/Leke,Endachiwa,,,14.07046,39.06868
