id,deployment_code,community_name,population,cost_estimate,plaque_text,location_type_id,project_type_id,status_id,grant_id,grant_program_id,region,rehab,revenue_category,package_id,fluxx_regrant_id,possible_location_types,state,district,sub_district,system_name,water_point_name,latitude,longitude
7031,ET.GOH.Q2.13.144.118,Adishimehdero,350,4235.53,mycharity: water,CO,6,1,1174,120,Tigray,0,WPS,33,368,Community,Tigray,T/Abergelle,Jijke,,,13.91315,38.77007
7032,ET.GOH.Q2.13.144.119,Maiwishato,400,3835.68,mycharity: water,CO,4,1,1174,120,Tigray,0,MYCW_OVER_10K,127,368,Community,Tigray,K/Tembien,Dedere,,,14.23787,38.93198
7033,ET.GOH.Q2.13.144.120,Maiflako,350,3835.68,mycharity: water,CO,4,1,1174,120,Tigray,0,MYCW_OVER_10K,127,368,Community,Tigray,K/Tembien,Chamo,,,14.1739,38.62931
7034,ET.GOH.Q2.13.144.121,Gerebmegna,250,3835.68,mycharity: water,CO,4,1,1174,120,Tigray,0,MYCW_OVER_10K,127,368,Community,Tigray,E/Alaje,Keyih tekli,,,14.11596,38.9942
7035,ET.GOH.Q2.13.144.122,E'do,200,3835.68,Brian and Karen Cooper,CO,4,1,1174,120,Tigray,0,WPS,24,368,Community,Tigray,E/Alaje,Keyih tekli,,,14.15694,38.98938
7036,ET.GOH.Q2.13.144.123,Mai deruhu,200,3835.68,Brian and Karen Cooper,CO,4,1,1174,120,Tigray,0,WPS,140,368,Community,Tigray,T/abergele,Sheka tekli,,,14.01741,39.00991
7037,ET.GOH.Q2.13.144.124,May Sagla Chirara,300,3835.68,Brian and Karen Cooper,CO,4,1,1174,120,Tigray,0,WPS,16,368,Community,Tigray,N/Adet,Metaklo,,,13.99143,38.85482
7038,ET.GOH.Q2.13.144.125,Hambere,250,3835.68,Brian and Karen Cooper,CO,4,1,1174,120,Tigray,0,WPS,64,368,Community,Tigray,N/Adet,Abeba yohanes,,,14.33142,38.58948
7039,ET.GOH.Q2.13.144.126,Gurngura,150,3835.68,Brian and Karen Cooper,CO,4,1,1174,120,Tigray,0,MYCW_OVER_10K,127,368,Community,Tigray,N/Adet,Abeba yohanes,,,14.20478,38.59158
7040,ET.GOH.Q2.13.144.127,Ruba gezana,200,3835.68,Brian and Karen Cooper,CO,4,1,1174,120,Tigray,0,MYCW_OVER_10K,127,368,Community,Tigray,N/Adet,Abeba yohanes,,,14.14354,39.00505
7041,ET.GOH.Q2.13.144.128,May Daero,300,7864.68,Brian and Karen Cooper,CO,5,1,1174,120,Tigray,0,WPS,48,368,Community,Tigray,K/tembein,Newi,,,14.11111,39.21071
7042,ET.GOH.Q2.13.144.129,May Aba Leake,150,7864.68,Brian and Karen Cooper,CO,5,1,1174,120,Tigray,0,WPS,112,368,Community,Tigray,K/tembein,Newi,,,14.08886,38.9914
7043,ET.GOH.Q2.13.144.130,Aini-mayemba,200,7864.68,Brian and Karen Cooper,CO,5,1,1174,120,Tigray,0,MYCW_OVER_10K,127,368,Community,Tigray,W/Leke,Endachiwa,,,13.46002,38.8387
7044,ET.GOH.Q2.13.144.131,Machelot,200,7864.68,mycharity: water,CO,5,1,1174,120,Tigray,0,WPS,,368,Community,Tigray,W/Leke,Endachiwa,,,14.03233,38.98762
7045,ET.GOH.Q2.13.144.132,Ayni may Belaeto,750,7864.68,mycharity: water,CO,5,1,1174,120,Tigray,0,WPS,141,368,Community,Tigray,Adwa,Tahtay logomity,,,13.01906,39.40895
7046,ET.GOH.Q2.13.144.133,Felafle,350,7864.68,mycharity: water,CO,5,1,1174,120,Tigray,0,WPS,38,368,Community,Tigray,Adwa,Tahtay logomity,,,14.20488,38.62556
7047,ET.GOH.Q2.13.144.134,May neteba ,150,7864.68,mycharity: water,CO,5,1,1174,120,Tigray,0,WPS,40,368,Community,Tigray,M/leke,A/selam,,,14.03829,39.04227
7048,ET.GOH.Q2.13.144.135,Hitsara,350,7864.68,mycharity: water,CO,5,1,1174,120,Tigray,0,WPS,140,368,Community,Tigray,T/Abergelle,Agbe,,,14.0954,38.99705
7049,ET.GOH.Q2.13.144.136,Sherafo,300,7864.68,mycharity: water,CO,5,1,1174,120,Tigray,0,MYCW_OVER_10K,127,368,Community,Tigray,L/Maichew,Endayesus,,,14.05146,39.02111
7050,ET.GOH.Q2.13.144.137,May Tsahli,100,7864.68,mycharity: water,CO,5,1,1174,120,Tigray,0,MYCW_OVER_10K,127,368,Community,Tigray,L/Maichew,Awleo,,,13.98075,38.79147
7051,ET.GOH.Q2.13.144.138,Mayliham,400,7864.68,mycharity: water,CO,5,1,1174,120,Tigray,0,WPS,31,368,Community,Tigray,E/Alaje,Keyih tekli,,,14.16501,38.57396
7052,ET.GOH.Q2.13.144.139,Maychega(adiawleo),250,7864.68,mycharity: water,CO,5,1,1174,120,Tigray,1,MYCW_OVER_10K,127,369,Community,Tigray,E/Alaje,Keyih tekli,,,14.27038,38.95802
7053,ET.GOH.Q2.13.144.140,Meydaquiha,350,4045.91,John Hayes  ,CO,7,1,1174,120,Tigray,1,MYCW_OVER_10K,127,369,Community,Tigray,E/Alaje,Dejen,,,14.17722,38.89361
7054,ET.GOH.Q2.13.144.141,Habi,500,4045.91,Ernest and Gunde Posey,CO,7,1,1174,120,Tigray,1,MYCW_OVER_10K,127,369,Community,Tigray,E/Alaje,Dejen,,,13.75538,39.69333
7055,ET.GOH.Q2.13.144.142,Maylimina,350,4045.91,Next Jump,CO ,7,1,1174,120,Tigray,1,MYCW_OVER_10K,127,369,Community,Tigray,T/Abergele,Jijike,,,14.08819,38.98392
7056,ET.GOH.Q2.13.144.143,Maymare,300,4045.91,In honor of the folks in this community  ,CO ,7,1,1174,120,Tigray,0,MYCW_0K-5K,126,370,School,Tigray,T/Abergele,Jijike,,,14.08053,39.00071
7057,ET.GOH.Q2.13.144.144,Adi bahri school,1228,29224.18,In Memory of Mary Esvelt/ A woman of noble character,CO,3,1,1174,120,Tigray,0,MYCW_0K-5K,126,370,School,Tigray,¾Adwa,Weyenti,,,14.16966,38.78923
7058,ET.GOH.Q2.13.144.145,Tsilal gezgzi E/school,765,29224.18,"""Give Change to Make Change"" Ethiopial -- 2013 NAUTICA  ",CO,3,1,1174,120,Tigray,0,MYCW_0K-5K,126,370,School,Tigray,L/maichew,Awleo,,,13.48854,38.98129
7059,ET.GOH.Q2.13.144.146,Adi hawezta E/School,264,21019.36,"""Give Change to Make Change"" Ethiopial -- 2013 NAUTICA  ",CO,3,1,1174,120,Tigray,0,WPS,,370,School,Tigray,N/Adet,May tmket,,,14.25603,38.58371
7060,ET.GOH.Q2.13.144.147,Gembay Primery school,765,29224.18,"""Give Change to Make Change"" Ethiopial -- 2013 NAUTICA  ",CO,3,1,1174,120,Tigray,0,WPS,132,370,School,Tigray,K/Tembien,Dedere,,,14.05885,39.23294
7061,ET.GOH.Q2.13.144.148,Chamo elem.school,647,24067.06,"""Give Change to Make Change"" Ethiopial -- 2013 NAUTICA  ",CO,1,1,1174,120,Tigray,0,WPS,132,370,School,Tigray,K/tembein,Chamo,,,13.9972,39.00297
7062,ET.GOH.Q2.13.144.149,Adi tsalqa school,563,15862.24,mycharity: water,CO,1,1,1174,120,Tigray,0,WPS,132,370,School,Tigray,Ahferom,Adizata,,,14.07504,38.9869
7063,ET.GOH.Q2.13.144.150,Desta & Tafere school,756,24067.06,mycharity: water,CO,1,1,1174,120,Tigray,0,WPS,132,370,School,Tigray,E/Alaje,Dejen,,,13.69831,38.71838
7064,ET.GOH.Q2.13.144.151,Tsigereda School,891,24067.06,charity: water,CO,1,1,1174,120,Tigray,0,WPS,64,370,School,Tigray,Kilteawlaelo,Tsigereda ,,,14.13122,38.63086
64424,ET.GOH.Q2.13.144.152,Adi Dege E/School,145,15862.24,charity: water,CO,1,1,1174,120,Tigray,0,,,368,Community,Tigray,N/Adet,Abeba yohanes,,,13.77998,39.35606
64425,ET.GOH.Q2.13.144.153,Senay Tsebho,600,7864.68,mycharity: water,CO,41,1,1174,120,Tigray,0,,,368,Community,Tigray,Adwa,Senat Tsebho,,,13.98366,38.85002
