id,deployment_code,community_name,population,population_override,latitude,longitude,cost_estimate,plaque_text,location_type_id,project_type_id,sub_project_type_id,status_id,grant_id,grant_program_id,d2p_batch_id,mycw,region,funding_source,rehab,revenue_category,package_id,fluxx_id,fluxx_regrant_id,possible_location_types,review_status_name,resubmission_notes,state,district,sub_district,system_name,water_point_name,latitude_display,longitude_display
51486,ET.GOH.Q3.13.148.031,Daerogodagudi,280,,13.58304,39.36966,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,GENERAL_WATER,,,417,Community,,,,Hawzien,Freweyni,,,,
51487,ET.GOH.Q3.13.148.032,Hagafo,350,,13.89319,39.39767,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,GENERAL_WATER,,,417,Community,,,,Hawzien,Freweyni,,,,
51488,ET.GOH.Q3.13.148.033,Koma,350,,13.89394,39.37699,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,GENERAL_WATER,,,417,Community,,,,Hawzien,Freweyni,,,,
51489,ET.GOH.Q3.13.148.034,Girashianda,280,,13.93942,39.42586,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,GENERAL_WATER,,,417,Community,,,,Hawzien,Selam,,,,
51490,ET.GOH.Q3.13.148.035,Chechah,400,,13.95904,39.48449,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,GENERAL_WATER,,,417,Community,,,,Hawzien,Selam,,,,
51491,ET.GOH.Q3.13.148.036,Adiharawis,300,,14.0883,39.40217,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,GENERAL_WATER,,,417,Community,,,,Hawzien,Simret,,,,
51492,ET.GOH.Q3.13.148.037,Maisiye,300,,14.1014,39.41413,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,GENERAL_WATER,,,417,Community,,,,Hawzien,Simret,,,,
51493,ET.GOH.Q3.13.148.038,Gudgad ageye,250,,14.10422,39.41371,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,GENERAL_WATER,,,417,Community,,,,Hawzien,Simret,,,,
51494,ET.GOH.Q3.13.148.039,Karanata,200,,14.09012,39.41837,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,GENERAL_WATER,,,417,Community,,,,Hawzien,Simret,,,,
51495,ET.GOH.Q3.13.148.040,Adibeza,250,,14.08052,39.40915,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,MYCW_OVER_10K,,,417,Community,,,,Hawzien,Simret,,,,
51496,ET.GOH.Q3.13.148.041,Adibashay,250,,14.07951,39.40425,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,MYCW_OVER_10K,,,417,Community,,,,Hawzien,Simret,,,,
51497,ET.GOH.Q3.13.148.042,Mai tsiyuk,275,,14.08425,39.40813,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,MYCW_OVER_10K,,,417,Community,,,,Hawzien,Simret,,,,
51498,ET.GOH.Q3.13.148.043,Adigedged,350,,14.08781,39.39085,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,MYCW_OVER_10K,,,417,Community,,,,Hawzien,Simret,,,,
51499,ET.GOH.Q3.13.148.044,Gefihmeda,275,,14.09648,39.37624,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,MYCW_OVER_10K,,,417,Community,,,,Hawzien,Shelewa,,,,
51500,ET.GOH.Q3.13.148.045,Serdi,350,,14.09742,39.38816,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,MYCW_OVER_10K,,,417,Community,,,,Hawzien,Shelewa,,,,
51501,ET.GOH.Q3.13.148.046,Mai weyni,300,,14.09699,39.37254,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,MYCW_OVER_10K,,,417,Community,,,,Hawzien,Shelewa,,,,
51502,ET.GOH.Q3.13.148.047,Abunegedi,275,,14.1038,39.36944,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,MYCW_OVER_10K,,,417,Community,,,,Hawzien,Shelewa,,,,
51503,ET.GOH.Q3.13.148.048,Embeyteygirmti,300,,14.10457,39.37922,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,MYCW_OVER_10K,,,417,Community,,,,Hawzien,Shelewa,,,,
51504,ET.GOH.Q3.13.148.049,Gira mishela,300,,14.09328,39.36989,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,MYCW_OVER_10K,,,417,Community,,,,Hawzien,Shelewa,,,,
51505,ET.GOH.Q3.13.148.050,adi aboy esa,300,,12.63495,39.52986,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,MYCW_OVER_10K,,,417,Community,,,,Ofla,Hugum burda,,,,
51506,ET.GOH.Q3.13.148.051,hadesty adi,290,,12.63821,39.52088,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,MYCW_OVER_10K,,,417,Community,,,,Ofla,Hugum burda,,,,
51507,ET.GOH.Q3.13.148.052,gereb ayni,320,,12.63988,39.52959,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,MYCW_OVER_10K,,,417,Community,,,,Ofla,Hugum burda,,,,
51508,ET.GOH.Q3.13.148.053,gerebna,350,,12.65006,39.55297,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,MYCW_OVER_10K,,,417,Community,,,,Ofla,Hugum burda,,,,
51509,ET.GOH.Q3.13.148.054,gereb asihar,300,,12.6539,39.53463,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,MYCW_OVER_10K,,,417,Community,,,,Ofla,Hugum burda,,,,
51510,ET.GOH.Q3.13.148.055,gereb habi,350,,12.56846,39.527,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,MYCW_OVER_10K,,,417,Community,,,,Ofla,Menker,,,,
51511,ET.GOH.Q3.13.148.056,gereb dewta,350,,12.5435,39.53376,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,,,417,Community,,,,Ofla,Menker,,,,
51512,ET.GOH.Q3.13.148.057,gereb hagoro,290,,12.57932,39.53307,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,307,,417,Community,,,,Ofla,Menker,,,,
51513,ET.GOH.Q3.13.148.058,adi chercher,300,,12.57133,39.52983,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,311,,417,Community,,,,Ofla,Menker,,,,
51514,ET.GOH.Q3.13.148.059,gereb tkara,300,,12.57134,39.52936,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,314,,417,Community,,,,Ofla,Menker,,,,
51515,ET.GOH.Q3.13.148.060,adi hayalo ( may mesele),300,,12.556,39.52561,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,314,,417,Community,,,,Ofla,Menker,,,,
51516,ET.GOH.Q3.13.148.061,adi agam,270,,12.56904,39.52014,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,265,,417,Community,,,,Ofla,Menker,,,,
51517,ET.GOH.Q3.13.148.062,gereb selam,320,,12.54558,39.56322,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,316,,417,Community,,,,Ofla,Adi golo,,,,
51518,ET.GOH.Q3.13.148.063,kisad korem,260,,12.5229,39.53521,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,327,,417,Community,,,,Ofla,Adi golo,,,,
51519,ET.GOH.Q3.13.148.064,gereb weria,255,,12.46876,39.5199,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,327,,417,Community,,,,Ofla,Wenberet,,,,
51520,ET.GOH.Q3.13.148.065,gabr,300,,12.49194,39.50533,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,327,,417,Community,,,,Ofla,Wenberet,,,,
51521,ET.GOH.Q3.13.148.066,gra semere,300,,12.49987,39.50126,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,327,,417,Community,,,,Ofla,Heyalo,,,,
51522,ET.GOH.Q3.13.148.067,gabla,300,,12.50353,39.50372,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,327,,417,Community,,,,Ofla,Heyalo,,,,
51523,ET.GOH.Q3.13.148.068,may shagla,290,,13.28483,39.16084,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,327,,417,Community,,,,S/samre,Hintsa,,,,
51524,ET.GOH.Q3.13.148.069,meterias,250,,13.40013,39.09906,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,327,,417,Community,,,,S/samre,Banba,,,,
51525,ET.GOH.Q3.13.148.070,may belewadit,260,,13.31815,39.11448,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,327,,417,Community,,,,S/samre,Cheli,,,,
51526,ET.GOH.Q3.13.148.071,adigura ( grabizuhan),250,,13.30723,39.11277,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,327,,417,Community,,,,S/samre,Cheli,,,,
