id,deployment_code,community_name,population,population_override,latitude,longitude,cost_estimate,cost_actual,other_funding_amt,other_funding_donation_count,completion_date,partner_project_code,plaque_text,project_specific_field_notes,internal_notes,image_url,location_type_id,project_type_id,sub_project_type_id,status_id,grant_id,grant_program_id,d2p_batch_id,mycw,region,funding_source,rehab,revenue_category,package_id,fluxx_id,fluxx_regrant_id,possible_location_types,review_status_name,resubmission_notes,state,district,sub_district,system_name,water_point_name
new,ET.RST.Q2.14.162.028,Baekel,291,,14.21138,39.50238,,,,,,,NSM 2014,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Ganta Afeshum,Dbla Siet,,
new,ET.RST.Q2.14.162.029,Hutsa,291,,14.21923,39.50501,,,,,,,NSM 2014,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Ganta Afeshum,Dbla Siet,,
new,ET.RST.Q2.14.162.030,Golgol eful,291,,14.221,39.50401,,,,,,,NSM 2014,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Ganta Afeshum,Dbla Siet,,
new,ET.RST.Q2.14.162.031,Edaga,291,,14.18507,39.4106,,,,,,,NSM 2014,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Ganta Afeshum,Hadnt,,
new,ET.RST.Q2.14.162.032,Gra seymti,291,,14.19166,39.40796,,,,,,,Farmerama Charity Wells,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Ganta Afeshum,Hadnt,,
new,ET.RST.Q2.14.162.033,Euna,291,,14.19877,39.38817,,,,,,,Farmerama Charity Wells,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Ganta Afeshum,Hadnt,,
new,ET.RST.Q2.14.162.034,Gra_Adigi,291,,13.48477,39.42452,,,,,,,RSA charity : water,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Enderta,Debre genet,,
new,ET.RST.Q2.14.162.035,Gefhi gereb,291,,13.47941,39.43711,,,,,,,RSA charity : water,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Enderta,Debre genet,,
new,ET.RST.Q2.14.162.036,May_Abagulo1,291,,13.50314,39.44436,,,,,,,Rebecca and Sam Mietling Wedding for Water,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Enderta,Momona,,
new,ET.RST.Q2.14.162.037,May_Abagulo2,291,,13.50486,39.4441,,,,,,,Rebecca and Sam Mietling Wedding for Water,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Enderta,Momona,,
new,ET.RST.Q2.14.162.038,Gerebela,291,,13.5104,39.43625,,,,,,,Kam Chancellor & Friends Care About Clean Water,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Enderta,Momona,,
new,ET.RST.Q2.14.162.039,May_Ko'rbet,291,,13.52341,39.42756,,,,,,,Kam Chancellor & Friends Care About Clean Water,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Enderta,Momona,,
new,ET.RST.Q2.14.162.040,Gereb netie't,291,,13.50936,39.44934,,,,,,,Kilimanjaro challenge,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Enderta,Momona,,
new,ET.RST.Q2.14.162.041,Elala,291,,13.5325,39.48346,,,,,,,Kilimanjaro challenge,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Enderta,Meles,,
new,ET.RST.Q2.14.162.042,Enda_etay chenu,291,,13.5388,39.48196,,,,,,,EMC IIG Engineering _ Thirsty for Wells,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Enderta,Meles,,
new,ET.RST.Q2.14.162.043,Hadush Adi,291,,13.54487,39.47179,,,,,,,EMC IIG Engineering _ Thirsty for Wells,,,,Community,New Drilled Well,,,,,,,Tigray,,,,,,,,,,,Enderta,Meles,,
